utility_id_eia,utility_name,display_name,state,year,ownership,base_authorized_roe,performance_adjustment_bps,effective_authorized_roe,actual_earned_roe,actual_minus_effective_bps,approved_equity_ratio,approved_rate_base_million_usd,authorized_equity_return_million_usd,approved_distribution_revenue_requirement_million_usd,equity_return_share_of_revenue_requirement,approved_incremental_revenue_change_million_usd,docket,source_ids,actual_roe_source_ids,source_status,annualization_note,ownership_source_ids
4176,Connecticut Light & Power Co,Eversource Connecticut (CL&P),CT,2013,DOM,0.094,,0.094,,,,,,,,,09-12-05,S01,,Reported carried-in rate,Authorized ROE in force at the start of the pilot; exact rate base and equity ratio not collected in this step.,S14
4176,Connecticut Light & Power Co,Eversource Connecticut (CL&P),CT,2014,DOM,0.0917,,0.0917,,,,,,,,134,14-05-06,S02,,Reported decision-year rate,Decision was effective 2014-12-01; the table records the rate in force at year-end.,S14
4176,Connecticut Light & Power Co,Eversource Connecticut (CL&P),CT,2015,DOM,0.0917,-15,0.0902,,,,,,,,,14-05-06,S02; S03; S16,,Reported and carried forward,One-year 15 bp storm-response reduction applied during 2015; base ROE remained 9.17%.,S14
4176,Connecticut Light & Power Co,Eversource Connecticut (CL&P),CT,2016,DOM,0.0917,,0.0917,,,,,,,,,14-05-06,S02,,Reported and carried forward,9.17% base ROE carried forward after the one-year 2015 reduction ended.,S14
4176,Connecticut Light & Power Co,Eversource Connecticut (CL&P),CT,2017,DOM,0.0917,,0.0917,,,,,,,,,14-05-06,S02,,Reported and carried forward,9.17% base ROE carried forward after the one-year 2015 reduction ended.,S14
4176,Connecticut Light & Power Co,Eversource Connecticut (CL&P),CT,2018,DOM,0.0925,,0.0925,,,0.53,,,,,64.3,17-10-46,S04,,Reported decision-year rate,Settlement approved 2018-04-18; first rate step effective 2018-05-01.,S14
4176,Connecticut Light & Power Co,Eversource Connecticut (CL&P),CT,2019,DOM,0.0925,,0.0925,,,0.53,,,,,31.1,17-10-46,S04,,Reported and carried forward,Carried forward from the 2018 settlement; PURA's current rate-case page lists no later completed CL&P distribution rate case through this review.,S14
4176,Connecticut Light & Power Co,Eversource Connecticut (CL&P),CT,2020,DOM,0.0925,,0.0925,,,0.53,,,,,29.2,17-10-46,S04,,Reported and carried forward,Carried forward from the 2018 settlement; PURA's current rate-case page lists no later completed CL&P distribution rate case through this review.,S14
4176,Connecticut Light & Power Co,Eversource Connecticut (CL&P),CT,2021,DOM,0.0925,,0.0925,,,0.53,,,,,,17-10-46,S04,,Reported and carried forward,PURA separately ordered a 90 bp reduction for a future rate proceeding; it is not subtracted from this in-force annual series.,S14
4176,Connecticut Light & Power Co,Eversource Connecticut (CL&P),CT,2022,DOM,0.0925,,0.0925,,,0.53,,,,,,17-10-46,S04; S05,,Reported and carried forward,Carried forward from the 2018 settlement; PURA's current rate-case page lists no later completed CL&P distribution rate case through this review.,S14
4176,Connecticut Light & Power Co,Eversource Connecticut (CL&P),CT,2023,DOM,0.0925,,0.0925,,,0.53,,,,,,17-10-46,S04; S05,,Reported and carried forward,Carried forward from the 2018 settlement; PURA's current rate-case page lists no later completed CL&P distribution rate case through this review.,S14
4176,Connecticut Light & Power Co,Eversource Connecticut (CL&P),CT,2024,DOM,0.0925,,0.0925,,,0.53,,,,,,17-10-46,S04; S05,,Reported and carried forward,Carried forward from the 2018 settlement; PURA's current rate-case page lists no later completed CL&P distribution rate case through this review.,S14
19497,United Illuminating Co,United Illuminating,CT,2013,DOM,0.0915,,0.0915,,,0.5,,,,,,13-01-19,S07; S15,,Reported decision-year rate,August 2013 decision raised authorized ROE from 8.75% to 9.15%; the table records the rate in force at year-end.,S12
19497,United Illuminating Co,United Illuminating,CT,2014,DOM,0.0915,,0.0915,,,0.5,,,,,,13-01-19,S07; S15,,Reported and carried forward,9.15% carried forward from the 2013 decision.,S12
19497,United Illuminating Co,United Illuminating,CT,2015,DOM,0.0915,,0.0915,,,0.5,,,,,,13-01-19,S07; S15,,Reported and carried forward,9.15% carried forward from the 2013 decision.,S12
19497,United Illuminating Co,United Illuminating,CT,2016,MTC,0.0915,,0.0915,,,0.5,,,,,,13-01-19,S07; S15,,Reported and carried forward,9.15% remained in force through 2016; MTC coding begins in 2016 after the December 2015 merger.,S12; S13
19497,United Illuminating Co,United Illuminating,CT,2017,MTC,0.091,,0.091,0.0934,24,0.5,981,44.6355,363.034,0.12295129,43,16-06-04,S17; S08,S09,Reported decision-year rate,Decision-year figures are attached only to the specific 2017-2019 rate year reported in the decision.,S12; S13
19497,United Illuminating Co,United Illuminating,CT,2018,MTC,0.091,,0.091,0.0959,49,0.5,997.026,45.364683,374.529,0.12112462,11.5,16-06-04,S17; S08,S09,Reported and carried forward,Decision-year figures are attached only to the specific 2017-2019 rate year reported in the decision.,S12; S13
19497,United Illuminating Co,United Illuminating,CT,2019,MTC,0.091,,0.091,0.1012,102,0.5,1014.144,46.143552,377.447,0.12225174,3,16-06-04,S17; S08,S09,Reported and carried forward,Decision-year figures are attached only to the specific 2017-2019 rate year reported in the decision.,S12; S13
19497,United Illuminating Co,United Illuminating,CT,2020,MTC,0.091,,0.091,0.0899,-11,0.5,,,,,,16-06-04,S17; S08,S09,Reported and carried forward,9.10% carried forward from the 2016 decision; decision-year dollar inputs are not silently carried into later years.,S12; S13
19497,United Illuminating Co,United Illuminating,CT,2021,MTC,0.091,,0.091,0.0823,-87,0.5,,,,,,16-06-04,S17; S08,S09,Reported and carried forward,PURA separately ordered a 15 bp reduction for a future rate proceeding; it is not subtracted from this in-force annual series.,S12; S13
19497,United Illuminating Co,United Illuminating,CT,2022,MTC,0.091,,0.091,,,0.5,,,,,,16-06-04,S17; S08,,Reported and carried forward,9.10% carried forward from the 2016 decision; decision-year dollar inputs are not silently carried into later years.,S12; S13
19497,United Illuminating Co,United Illuminating,CT,2023,MTC,0.091,-47,0.0863,,,0.5,1105.196,47.689207,384.865,0.12391152,22.957,22-08-08,S10; S11,,Reported final decision,Final decision effective 2023-09-01: 9.10% base ROE less 47 bp of combined adjustments equals 8.63%.,S12; S13
19497,United Illuminating Co,United Illuminating,CT,2024,MTC,0.091,-47,0.0863,,,0.5,,,,,,22-08-08,S10; S11,,Reported and carried forward,8.63% effective ROE carried forward from the final 2023 decision. Dollar inputs remain attached to the 2023 rate-year row only.,S12; S13
54913,NSTAR Electric Company,NSTAR Electric (Eversource Massachusetts),MA,2013,DOM,0.105,,0.105,,,,,,,,,D.T.E. 05-85,S18,,Reported carried-in rate,D.P.U. 17-05 identifies 10.50% as NSTAR's then-current allowed ROE; the older case is not otherwise reconstructed here.,S14
54913,NSTAR Electric Company,NSTAR Electric (Eversource Massachusetts),MA,2014,DOM,0.105,,0.105,,,,,,,,,D.T.E. 05-85,S18,,Reported carried-in rate,D.P.U. 17-05 identifies 10.50% as NSTAR's then-current allowed ROE; the older case is not otherwise reconstructed here.,S14
